198.199.86.11:8080
45.140.143.77:18080
45.170.226.250:999
34.102.48.89:8080
159.69.57.20:8880
161.35.70.249:8080
138.68.60.8:80
159.203.61.169:3128
139.59.1.14:80
134.209.29.120:80
47.74.226.8:5001
